H2O,Radicals,0.004670379019220406
HO2,Radicals,0.04772169331177774
K14ISOM1,Unimolecular,0.0005388898868331237
KBPAN,Unimolecular,0.016346326567271422
KBPPN,Unimolecular,5.9876654092569307e-05
KDEC,Unimolecular,0.061253817136698405
KMT04,Unimolecular,5.9876654092569307e-05
KMT10,Unimolecular,5.9876654092569307e-05
KMT14,Unimolecular,5.9876654092569307e-05
NO,Radicals,0.02077719897012155
NO2,Radicals,0.02335189509610203
NO3,Radicals,0.02580683791389737
O2,Radicals,0.009161128076163105
O3,Radicals,0.013771630441290941
OH,Radicals,0.24082390276031376
RO2,RO2,0.1511885515837375
RO2HO2,RO2,0.055086521765163765
RO2NO,RO2,0.07760014370396982
RO2NO3,RO2,0.07292976468474942
hv,Photolysis,0.1564576971438836
uni,Unimolecular,0.022274115322435784
