Description: Optional,Do not write time more than once. ,,
,,,
Index,Species,Constrain,urban
ii,TIME,NA,432000
ii,TEMP,0,298
ii,LAT,0,53.958
ii,LON,0,0
ii,JDAY,0,180
ii,H2O,0,0.01
ii,ALBEDO,0,0.1
ii,PRESS,0,1013.25
ii,NOx,0,0
ii,DEPOS,1,0
ii,FEMISS,1,0
ii,H2,0,0.0000005
 1,NO,0,0
 2,NO2,0,5.0E-9
 3,O3,0,9.0E-8
 4,HNO3,0,1.0E-9
 5,H2O2,0,1.0E-9
 6,SO2,0,5.0E-9
 7,CO,0,3.0E-7
 8,HCHO,0,1.0E-9
 9,CH4,0,1.8E-6
10,C2H6,0,2.4E-9
11,C2H4,0,1.0E-9
12,CH3OH,0,5.0E-9
13,C2H5OH,0,1.0E-9
14,NPROPOL,0,7.0E-12
15,IPROPOL,0,2.0E-10
16,NBUTOL,0,4.0E-12
17,BUT2OL,0,3.0E-12
18,ETHGLY,0,6.3E-12
19,CH3OOH,0,1.0E-9
20,C2H5OOH,0,1.0E-8
21,CH3CO3H,0,1.0E-12
22,CH3CHO,0,5.0E-11
23,C2H5CHO,0,2.0E-12
24,C3H7CHO,0,2.0E-12
25,CH3COCH3,0,5.0E-10
26,MEK,0,2.7E-10
27,MIBK,0,7.0E-11
28,GLYOX,0,1.0E-10
29,MGLYOX,0,1.0E-10
30,PAN,0,5.0e-10
