Description: Optional,Do not write time more than once. ,,
,,,
Index,Species,Constrain,clearflow
ii ,TIME,NA,259200
ii,TEMP,0,298
ii ,LAT,0,53.958
ii,LON,0,0
ii ,JDAY,0,173
ii,H2O,0,0.01
ii,ALBEDO,0,0
ii ,PRESS,0,1013
ii,NOx,1,0
ii ,DEPOS,1,0
ii,FEMISS,1,0
ii,SPINUP,0,0
ii,H2,0,0.0000005
1,CH4,1,0.00000183
2,C2H6,1,4.287E-009
3,C3H8,1,1.703E-009
4,NC4H10,1,1.366E-009
5,NC5H12,1,3.4E-010
6,NC7H16,1,6.6E-011
7,NC9H20,1,1.28E-010
8,NC10H22,1,1.32E-010
9,NC11H24,1,1.65E-010
10,NC12H26,1,2.73E-010
11,C2H4,1,6.38E-010
12,C2H2,1,3.74E-010
13,C3H6,1,1.99E-010
14,PENT1ENE,1,2.5E-011
15,C5H8,1,1.17E-010
16,BENZENE,1,1.47E-010
17,TOLUENE,1,4.81E-010
18,OXYL,1,7E-011
19,CH3CHO,1,4.301E-009
20,C3H7CHO,1,1.3E-011
21,MACR,1,2.4E-011
22,C4H9CHO,1,2.3E-011
23,C5H11CHO,1,1.9E-011
24,CH3OH,1,3.376E-009
25,C2H5OH,1,0.000000005
26,NPROPOL,1,2.52E-010
27,CH3COCH3,1,2.405E-009
28,MEK,1,6.4E-011
29,CYHEXONE,1,1.7E-011
