Description: Optional,Do not write time more than once. ,,,,,
,,,,,,
Index,Species,Constrain,methane,ethane,propane,butane
p0,TIME,NA,1210000, n/a,n/a,n/a
p1,TEMP,0,298,298,298,298
p2,LAT,0,53.958,53.958,53.958,53.958
p3,LON,0,0,0,0,0
p4,JDAY,0,182.4495655,182.4495655,182.4495655,182.4495655
p5,H2O,0,0.01,0.01,0.01,0.01
p6,PRESS,0,1013,1013,1013,1013
p7,NOx,1,0,0,0,0
p8,FEMISS ,1,1,1,1,1
p9,DEPOS,1,1,1,1,1
p10,H2,1,0.00000055,0.00000055,0.00000055,0.00000055
9,NO,0,1.8E-011,1.8E-011,1.8E-011,1.8E-011
10,NO2,0,2.4E-011,2.4E-011,2.4E-011,2.4E-011
11,O3,0,0.00000005,0.00000005,0.00000005,0.00000005
12,CH4,0,0.00000175,0.00000175,0.00000175,0.00000175
13,CO,0,0.0000002,0.0000002,0.0000002,0.0000002
15,C2H6,0,0,0.00000001,0.00000001,0.00000001
16,C3H8,0,0,0,0.00000001,0.00000001
17,NC4H10,0,0,0,0,0.00000001
