Cross sections and quantum yields (0 pressure and estimates for 1 atm)
for isovaleraldehyde from the book of Calvert et al. (2011):
The Mechanisms of Atmospheric Oxidation of the Oxygenates,
Oxford University Press, 2011.
and Calvert et al. (2006):
Mechanisms of Atmospheric Oxidation of the Alkanes, Final Report CRC Project A-58.

Contrary to Calvert et al. 2011, no quenching is assumed below 310nm
due to experimental evidence by Zhu et al. 19999

λ/nm	σ/1E-20 cm2	Φ1(0atm)	Φ1(1atm)
280	5.07	0.12	0.12
281	5.20	0.14	0.14
282	5.32	0.15	0.15
283	5.43	0.16	0.16
284	5.52	0.17	0.17
285	5.61	0.17	0.17
286	5.66	0.17	0.17
287	5.69	0.16	0.16
288	5.72	0.15	0.15
289	5.73	0.14	0.14
290	5.76	0.14	0.14
291	5.80	0.15	0.15
292	5.85	0.17	0.17
293	5.88	0.20	0.20
294	5.89	0.21	0.21
295	5.90	0.22	0.22
296	5.84	0.23	0.23
297	5.77	0.23	0.23
298	5.69	0.23	0.23
299	5.62	0.23	0.23
300	5.55	0.23	0.23
301	5.53	0.24	0.24
302	5.51	0.24	0.24
303	5.48	0.25	0.25
304	5.45	0.26	0.26
305	5.36	0.27	0.27
306	5.20	0.28	0.28
307	5.00	0.29	0.29
308	4.78	0.30	0.30
309	4.53	0.31	0.31
310	4.40	0.32	0.32
311	4.32	0.35	0.17
312	4.26	0.37	0.18
313	4.19	0.38	0.18
314	4.11	0.39	0.18
315	3.96	0.40	0.18
316	3.72	0.39	0.17
317	3.43	0.36	0.17
318	3.10	0.32	0.16
319	2.76	0.28	0.15
320	2.46	0.26	0.14
321	2.30	0.24	0.13
322	2.16	0.23	0.13
323	2.07	0.22	0.13
324	2.00	0.22	0.12
325	1.92	0.22	0.12
326	1.80	0.22	0.12
327	1.67	0.22	0.12
328	1.50	0.22	0.11
329	1.32	0.21	0.11
330	1.16	0.21	0.11
331	1.02	0.19	0.11
332	0.90	0.17	0.09
333	0.75	0.15	0.08
334	0.65	0.13	0.07
335	0.50	0.10	0.05
336	0.35	0.08	0.04
337	0.24	0.06	0.03
338	0.11	0.04	0.02
339	0.00	0.02	0.01
340	0.00	0.00	0.00
